barcode,name,brand,package_size,category
8850389115336,משקה אלוורה מלון 1 ליטר,סאפה פובליק קומפני לימיט,1 ליטר,Drinks
8852633119039,"רוטב דגים 300 מ""ל",---,300 מיליליטר,Sauces & Spreads
8857101301008,צילי מתוק 700מ מנת השף,,700 מיליליטר,Other
8858744800071,ממרח קארי צהוב 50 גרם,KANOKWAN,50 גרם,Sauces & Spreads
8859740800225,חט.אורז בננה דלעת גזר15ג,,15 גרם,Vegetables
8888351200070,טופו טרי במרקם קשה 400 ג,---,400 גרם,Prepared
8888351200124,טופו במרקם קשה 1.2 קג,---,1.2 קילוגרם,Prepared
8901314218261,מברשת קולגייט 360 *3יח,קולגייט-פלמוליב,1 יחידות,Other
8901314218346,מ.קולגיט 360 פלוסטיפ 3יח,---,1 יחידות,Other
8901537024014,"אורז בסמטי דאווט 1 ק""ג",אל.טי.פודס בעמ,1 קילוגרם,Other
8901571011018,מברשת שיניים סנסודיין3יח,---,1 יחידות,Other
8906038740814,2 תירס מבושל בואקום (ק),"ווי אינדיה בע""מ",1 יחידות,Vegetables
8906163078370,"אורז בסמטי גונאם 1 ק""ג",ספלה טק אינדסטריס פרייבט,1 קילוגרם,Other
8935001728047,מנטוס מסטיק ויטמין פירות,"פרפטי ואן מלה גידה,סאן",60 גרם,Snacks
8935001729228,מסטיק מנטוס תות חמוץ 60ג,"פרפטי ואן מלה גידה,סאן",60 גרם,Snacks
8935001729259,מסטיק מנטוס תפוח חמוץ60ג,"פרפטי ואן מלה גידה,סאן",60 גרם,Snacks
8936146200269,"מי קוקוס אורגני 330 מ""ל",,330 מיליליטר,Other
8936146200290,"מי קוקוס אורגני לל""ג 1ל",,1 ליטר,Other
8999999594275,רול און אינביסבל45רקסונה,יוניליוור הודו,45 מיליליטר,Meat & Fish
8999999594282,רולאון פריי45מ רקסונה,יוניליוור הודו,45 מיליליטר,Meat & Fish
8999999594299,רול און פוודר45מל רקסונה,יוניליוור הודו,45 מיליליטר,Meat & Fish
8999999594312,רול און אינביסבל45רקסונה,יוניליוור הודו,45 מיליליטר,Meat & Fish
8999999594329,רול און אייס קול45רקסונה,יוניליוור הודו,45 מיליליטר,Meat & Fish
8999999594350,רול און נטורל45מל רקסונה,יוניליוור הודו,45 מיליליטר,Meat & Fish
9000101509151,סבון אסלה אוקינוס3*42ברף,הנקל סוד,126 גרם,Other
9000101589085,סבון אסלה ויטאלטי3*50ברף,הנקל סוד,150 גרם,Other
9000101804416,פרסיל קאפס יוניברסל44יח,---,1 יחידות,Other
9000101805161,פרסיל קאפס קולור44יח,---,1 יחידות,Other
9000101830767,פרסיל קפסולות כביסה37יח,הנקל סוד,1 יחידות,Other
9002975000550,הריבו סאור וורמס 70 גרם,RINGO TRADING,70 גרם,Other
9002975393812,סוכ.הריבו האפי צרי70גרם,"האריבו , ג\י.אם.בי.איי",1 יחידות,Other
9002975393829,סוכריות הריבו פיצס 70גר,"האריבו , ג\י.אם.בי.איי",1 יחידות,Snacks
9002975393836,סוכ.הריבו האפי קולה70גרם,"האריבו , ג\י.אם.בי.איי",1 יחידות,Drinks
9002975393843,סוכריות הריבו גולדברס70ג,"האריבו , ג\י.אם.בי.איי",1 יחידות,Snacks
9002975393850,סוכריות הריבו וורמס 70גר,"האריבו , ג\י.אם.בי.איי",1 יחידות,Snacks
9005800343143,אפטר שייב ניוואה פרש100מ,---,100 מיליליטר,Other
90087011,מיץ 100% תפוחי עץ 1 ליטר,ראוך פרוכטסאפטה,1 ליטר,Drinks
90162602,רד בול משקה אנרגיה פח250,---,250 מיליליטר,Drinks
90169250,מיץ 100%לימון 250מל ראוך,ראוך פרוכטסאפטה,250 מיליליטר,Drinks
